ID, Time
0, 0.072835
1, 0.072203
2, 0.075625
3, 0.075254
4, 0.073539
5, 0.081022
6, 0.074615
7, 0.072013
8, 0.075526
9, 0.072929
10, 0.073311
11, 0.075300
12, 0.073105
13, 0.098861
14, 0.083934
15, 0.075612
16, 0.071518
17, 0.074239
18, 0.073022
19, 0.074549
20, 0.074875
21, 0.075158
22, 0.076340
23, 0.073524
24, 0.076065
25, 0.073737
26, 0.083830
27, 0.073323
28, 0.075630
29, 0.074120
30, 0.074064
31, 0.074995
32, 0.074976
33, 0.077659
34, 0.074185
35, 0.073092
36, 0.072524
37, 0.074410
38, 0.073732
39, 0.073500
40, 0.077304
41, 0.072469
42, 0.073674
43, 0.073863
44, 0.073566
45, 0.074622
46, 0.073237
47, 0.074547
48, 0.074769
49, 0.078057
50, 0.074690
51, 0.074646
52, 0.074844
53, 0.073155
54, 0.075763
55, 0.072513
56, 0.074001
57, 0.072568
58, 0.078973
59, 0.075129
60, 0.071847
61, 0.078263
62, 0.079216
63, 0.074735
64, 0.075129
65, 0.074924
66, 0.073629
67, 0.073210
68, 0.075176
69, 0.074239
70, 0.075938
71, 0.074039
72, 0.073330
73, 0.074699
74, 0.075134
75, 0.077572
76, 0.084460
77, 0.074155
78, 0.079205
79, 0.075120
80, 0.074513
81, 0.073984
82, 0.072980
83, 0.072758
84, 0.071222
85, 0.073111
86, 0.074623
87, 0.073875
88, 0.075776
89, 0.075550
90, 0.075507
91, 0.073666
92, 0.075834
93, 0.075032
94, 0.074105
95, 0.078375
96, 0.082874
97, 0.076758
98, 0.079181
99, 0.073636
