ID, OrganisationTime, SendingToWorkersTime, WorkersWorkingTime, TotalTime
0,0.002474,0.001052,0.011265,0.015141
1,0.001088,0.000620,0.009285,0.011293
2,0.001072,0.000553,0.010059,0.011967
3,0.001423,0.000849,0.009572,0.012159
4,0.001270,0.000627,0.009009,0.011176
5,0.001147,0.000585,0.009252,0.011254
6,0.001589,0.000785,0.010972,0.013644
7,0.001207,0.000697,0.009251,0.011487
8,0.001118,0.000824,0.009260,0.011500
9,0.001070,0.000530,0.009917,0.011855
10,0.001306,0.000564,0.009396,0.011566
11,0.001038,0.000530,0.009576,0.011449
12,0.001304,0.000556,0.009549,0.011711
13,0.001758,0.000812,0.010957,0.013956
14,0.001732,0.000576,0.009731,0.012382
15,0.001687,0.001127,0.010538,0.013692
16,0.001199,0.000558,0.009545,0.011598
17,0.001044,0.000540,0.009442,0.011581
18,0.001530,0.000840,0.009619,0.012295
19,0.001307,0.000693,0.015360,0.017766
20,0.001661,0.000801,0.011142,0.014024
21,0.001118,0.000607,0.010016,0.012057
22,0.001588,0.000534,0.012828,0.015314
23,0.001681,0.000837,0.010051,0.012870
24,0.001513,0.000791,0.011109,0.013832
25,0.001135,0.000582,0.010129,0.012136
26,0.001273,0.000602,0.011122,0.013275
27,0.001109,0.000713,0.010968,0.013059
28,0.001147,0.000600,0.011287,0.013407
29,0.001275,0.000579,0.011127,0.013251
30,0.001336,0.000603,0.011197,0.013542
31,0.001177,0.000708,0.009909,0.012081
32,0.001555,0.000758,0.009515,0.012144
33,0.001171,0.000742,0.008942,0.011124
34,0.001543,0.000786,0.009996,0.012648
35,0.001059,0.000518,0.009644,0.011775
36,0.001530,0.000730,0.009599,0.012160
37,0.002113,0.000997,0.011204,0.014651
38,0.001305,0.000614,0.009270,0.011490
39,0.001047,0.000547,0.010698,0.012582
40,0.001160,0.000629,0.008836,0.010897
41,0.001099,0.000588,0.009233,0.011257
42,0.001363,0.000656,0.009165,0.011460
43,0.001202,0.000621,0.010031,0.012140
44,0.001188,0.000595,0.009174,0.011263
45,0.001729,0.000630,0.010604,0.013513
46,0.001692,0.000844,0.010164,0.012997
47,0.001274,0.000599,0.010166,0.012309
48,0.001134,0.000637,0.009099,0.011142
49,0.001221,0.000600,0.010754,0.012875
50,0.001123,0.000550,0.009781,0.011859
51,0.001812,0.000825,0.010623,0.013663
52,0.001137,0.000528,0.010926,0.013075
53,0.001250,0.000636,0.009908,0.012063
54,0.001068,0.000535,0.009740,0.011612
55,0.001398,0.000685,0.009235,0.011670
56,0.001637,0.001027,0.009776,0.012767
57,0.001140,0.000577,0.011803,0.013828
58,0.001085,0.000572,0.009816,0.011743
59,0.001163,0.000715,0.010143,0.012303
60,0.001151,0.000651,0.010263,0.012487
61,0.001596,0.000773,0.011729,0.014514
62,0.001050,0.000588,0.010640,0.012581
63,0.001041,0.000519,0.011070,0.012927
64,0.001034,0.000507,0.010267,0.012173
65,0.001057,0.000657,0.012840,0.016338
66,0.001579,0.000744,0.011964,0.014639
67,0.001190,0.000528,0.010547,0.012604
68,0.001331,0.000566,0.011226,0.013392
69,0.001339,0.000565,0.009850,0.012165
70,0.001788,0.000807,0.009170,0.012074
71,0.001046,0.000535,0.009338,0.011242
72,0.001242,0.000573,0.009339,0.011425
73,0.001111,0.000566,0.008947,0.010894
74,0.001636,0.000746,0.010608,0.013286
75,0.001214,0.000539,0.009881,0.011904
76,0.001008,0.000503,0.010312,0.012105
77,0.001195,0.000543,0.009113,0.011123
78,0.001118,0.000523,0.010588,0.012548
79,0.001042,0.000548,0.008680,0.010568
80,0.001607,0.000837,0.010153,0.012868
81,0.001124,0.000668,0.010939,0.014732
82,0.001304,0.000529,0.009396,0.011569
83,0.001812,0.000825,0.010723,0.013766
84,0.001752,0.000827,0.010886,0.013805
85,0.001243,0.000504,0.009198,0.011253
86,0.001042,0.000500,0.009353,0.011292
87,0.001214,0.000626,0.009011,0.011147
88,0.001048,0.000512,0.009154,0.011010
89,0.001162,0.000721,0.011110,0.013400
90,0.001622,0.000789,0.009426,0.012145
91,0.001029,0.000496,0.011149,0.012984
92,0.001130,0.000556,0.011061,0.013016
93,0.001137,0.000577,0.010300,0.012325
94,0.001099,0.000521,0.008658,0.010577
95,0.001115,0.000549,0.009083,0.011076
96,0.001042,0.000494,0.009933,0.011781
97,0.001088,0.000497,0.009010,0.010914
98,0.001080,0.000539,0.009475,0.011433
99,0.001369,0.000615,0.009098,0.011403
